1,2,3,"Came in here only because I had a business call to take and needed some quiet space. Since the little one was with me, I went on ahead and ordered a kid's meal which consisted of a personal pan pizza and a drink. The cashier was nice. The place was clean. Ample seating downstairs and for the location being in Midtown it wasn't too crowded. Now I can imagine why lol.The pizza...well, I grew up eating Pizza Hut and was pretty disappointed. I thought it was pretty funny that I was longing for the 2 Bros dollar pizza in Chelsea. Eating this Pizza Hut pizza just made me hungrier. How is that even possible lol?!"
232,2,2,Had to wait 30 minutes for them to take our order. And then they came back to ask us again what did we order...talk about horrible service hopefully the food makes up for it!!
233,2,3,My nieces & I went there one night on a Friday & the place was dead. It took about 10-15 mins for us to be seated first off. There was only 1 girl at the front answering phones & wouldn't even look at u when u first walk in. Finally we were seated & given menus the waitress didn't even ask us what we would like to drink 1st she just took our order & took our menus & the only reason she brought us drinks was because i had to tell her that we wanted to order them. The food came out too fast it was like they already had that food ready to throw out because it was bad!!! The food got to our table 1st than the drinks did! Then after we left we all got home with stomach aches! NEVER AGAIN WILL I GO BACK THERE!!! This Pizza Hut seems like it's not a legit Pizza Hut because the food didn't taste like it normally does from them!!
234,2,2,"If I could give it 0 stars and a swift kick in the ass, I would. Would never order from them again as long as they are in business. The customer service, sucks. The store employees don't even answer the phone to confirm orders."
235,2,2,"Honestly the pizza there is just plain horrible, service is a nightmare and everything there was just a tragedy, should I even give them stars? Of course not."
236,2,2,"The only reason why I'm giving this place one star is because I have to in order to write this review -_- this place deserves ZERO stars! Just got back from eating at this Pizza Hut and service was so terrible!!!! The waitresses don't do anything but stand around and be on their phones! My boyfriend and I ordered mozzarella sticks as Appetizers and a medium pizza. Well guess what? We got our medium pizza 40 minutes later but, no mozzarella sticks! Oh wait? Weren't the mozzarella sticks for appetizers? How long does it take to fry mozzarella sticks??! The waitress then tells us "" oh I was just waiting for the mozzarella sticks to come out before I gave you the pizza"" uhmmmm, aren't appetizers suppose to come out before the pizza? Of course I said ""I don't want the mozzarella sticks anymore"" then, as my boyfriend and I were eating, she comes back and says ""oh you want a box for what's left over?"" Mind you, we have like 3 slices left and my boyfriend had a slice in his hand and I did as well. Then 15 minutes later she brings the check? Umm aren't you going to ask if we want dessert? Of course not! About 3 families left upset and mad  when we were there! This guy even complained to them and the waitresses would go back to their little corner and laugh!  I swear, I'm never coming back here! And of course, we didn't leave a tip!!!! DO NOT COME TO THIS PIZZA HUt!!!!"
237,2,2,"Wow, what an awful awful experience yesterday for Super Bowl Sunday.  Been to this place many times to do takeout since it's just out of reach for delivery.  Service is generally late or delayed at normal times but it was bearable.  Yesterday though, it would have been better if they closed down because it would have save all the headaches for all their customers and save all the labor cost.I order my pizza online at 3pm for pickup at 5:30pm.  Ordered large supreme pan, pasta, breadsticks and fries.  Showed up at 5:35pm.  Seems ok since I was maybe one of 5 or 6 people there.  Give them my name, they say they are working on it.  Expected so I waited.  At 6pm, I gave them the push and ask them about my order, according to the person at the desk, they burned a bunch of pizza (lying?) so they are totally backed up.  By this time, there are now 15 to 20 people waiting.  They want to cancel my order since they said it'll take another hour.  I told them what is the fastest they can get my order done since I'm one of the earlier one there.  30 minutes.  I told them I'll wait.  In the meanwhile, the wait time for delivery is now 2 to 3 hours.  They are totally rejecting eat in customers at this point.6:30pm, they called my name, I expect my order done so I can leave.  They brought out the pizza, I saw it wasn't exactly what I order (Supreme) since it's missing a few toppings but I just want to get home with something at this point so I moved on.  I asked about my pasta, the cashier gave me a surprised face, ""let me check"".  F u c k...  They didn't cook it.  She wanted to take it off my order (.............mind blown, of course you should if you don't have it but where is my order?).  On one of the busiest day of the year, you sell two types of pasta and you don't have a bunch prepared?  What kind of operation is this? Ok.  So where is my breadsticks,  ""let me check"".   F U C K..........  Unbelievable.  ""We don't have any breadsticks at the moment.""  ""What, you don't have a huge pile of breadsticks in the back?""  What in the world.  My 3-year old can do better than this. So they gave me the pizza and the fries.  Fries that were ready at 5:30 and is now soggy.  I didn't have the energy to bother with it any more.  I just paid and got out and wanted to leave them to all the other angry people waiting in line.  I'm sure my kid will eat anything at this time since its late.When I got home, I found out my pan pizza is really a stuff crust pizza and minimal amount of toppings under better lighting.  The pizza looks like it was a medium instead of large.  So they can't even get one thing correct.  Well, they did, they got my fries correct.  Which are now cold and soggy and unedible.  I lost all mood to watch the game and had everyone eat some quick food that we heat up.  Worst freaking ordering experience ever out of years of ordering takeout and delivery.  Will not come back to here.  To sum up, on the busiest day of the year, they had 5 or 6 cashiers in the front, and maybe more than 10 in the back with who knows how many drivers.  The delivery part, I understand that you could mess up.  Burning an oven full of pizza shouldn't put you back any more than 20 minutes.  And it doesn't take 6 cashiers no matter how busy the place is to do the job correct let alone to do everything wrong.  Everyone customers and employees was literally staring at each other not knowing what to do.  I work at a place when I was younger that is just as busy, I could do the job at the desk with just two employees if it is done correctly.  It seems like the cashiers were totally at a loss and can't manage the queue at all.  They are all dumber than any cashiers that I have ever come across.I'm disputing the charge on my credit card."
238,2,2,Very disappointed bad service the servers were very nasty. They gave us a chicken wings without sauces.
239,2,3,"Came here because it was getting late and we were hungry, and wanted to get into the city after getting a bite to eat.. just got done driving 12 hours. Parking was easy, thats the only reason it got one star. I ordered garlic chicken wings, and the wife ordered a small pizza and some bread sticks. Our drinks came out right away, then we were forgotten about.. 15 minutes later I recieved my cold chicken chunks with some garlic sauce poured over them. about 10 minutes later the wifes pizza came out.. 10..20..about 25 minutes later the waitress forgot about the breadsticks. They were at least hot. Timing of the food was BAD. When you want to eat some wings and pizza together, dont eat here."
240,3,2,"#My friend and I were excited to eat Pizza Hut. We haven't had it in a long time. We grew up on this stuff in the 80's. But sadly, I guess Pizza Hut makes their pan pizza differently now. The #crust is different. It doesn't seem like it has that crustiness or flavor as if it was cooked in an oily pan. It's hard to tell from this photo of my mine though, because this is #pretzel crust. But the other pizza we had was regular crust and it almost looked like a non-pan pizza.Okay, my above gripe isn't this location's fault. But I will blame them for forgetting the #Sriracha swirl I ordered on it. Plus the delivery guy didn't want to ring our buzzer. He wanted us to come out to his car on the street. So I explained this to my friend so he would go down and get the pizza, saying the driver was a #dick. Then I realized we never hung up the phone call."
241,2,2,"Waited 2 hours for a simple delivery, one personal pan pizza, breadsticks, and a stuffed crust pizza, once the driver gets here, he's missing a personal pan we ask to see the receipt, the PERSONAL PAN PIZZA was deleted off the ticket, no phone call, nothing, completely unacceptable."
242,2,2,"I decided to eat at this Pizza Hut because the one on Myrtle is shut down & I had a good coupon.. The delivery wasn't able to reach to my house (16 minute drive) so I met them at a closer location which I didn't mind. BUT the wings were dry af, the pizza was completely soft and didn't have the garlic buttery blend crust I always get on my pizza & the marinara sauce was completely watered down. This is the worst Pizza Hut I've ever ate & I'm wondering why the Myrtle location was shut down when this location should've been ‍ I'm 19 years old and don't do reviews but this Pizza Hut was so disappointing I had to. I don't suggest anyone to order from this location."
243,2,2,"My food was cold & I live 5 minutes away.... I wasn't feeling well so I decided to order in, & was very disappointed. The Marinara sauce was straight from the fridge. The delivery driver sat in his car outside my house for almost 10 minutes before delivering my food. He was very rude. Wish I could've tipped him after this awful delivery."
244,2,2,"If I could get 0, I would.I ordered delivery last week while watching my 1 year old daughter in my apartment building since it is a hassle to travel with a baby.  The delivery guy refused to deliver to my apartment even though I told him my situation over the phone as we argued. We have never had any issues with any other delivery service.   The delivery guy was just being incredibly lazy and rude. He forced me to come down or not get the food at all.  I had to come down with my daughter in hand to pick up the food. Was a total enjoyment to carry my daughter back up stairs while holding a pie of pizza.....  I have no regrets for not leaving a tip after this interaction. Food itself was pretty uneventful and lukewarm as well.  Last time I order from here."
245,2,2,Just ordered here today for the first time I asked for honey bbq wings for me and pizza for my friends( keep in mind the delivery guy got a $10 tip). They said okay and when I got the the order they gave me spicy wings. I called them back and the manager said they only have mild or spicy wings which they did Not say on the phone honey bbq is spicy . ...Wth?! ... I said How Is Honey Spicy??? He said we can give you credit and I said I didnt have anything to eat all day i just want my wings ..can you send me mild and I'll give u back the spicy. He said the delivery guy is to busy. I'm hungry and can't eat the pizza my friends ordered bc I'm allergic to cheese..Finally he said he will bring the wings and they never came!!!Fire the manager that worked Aug 5th 2018 during the 5:30 time! He doesn't deserve to be called a manager! Zero stars if I could!!! NEVER AGAIN
246,2,2,"The ""Manager"" was rude and obnoxious on the phone , called us liars . The pizza that was sent to us was incorrect and the tomatoe sauce was expired cheese wouldnt even stick to it ( work in the restaurant industry at a high level so able to tell these thing) end results the kids got sick and almost ended up at the ER for food poisoning. instead of being courteous and professional they decided to ignore our problem and sent us on our merry way. we have now reached our lawyer and will be pursuing actions.all of that because the staff wasnt trained in customers relations.... its a shame because its going to cost them much more than having sent back a proper one. Good job Pizza hut of fresh pond road. see you in court :)"
247,3,2,Ordered take out...guys in the store weren't overly friendly or anything and basically waited for me to say something before I was helped...pizza was too well done and not as good as usual. Disappointing
248,2,1,Was told to pick up my order in 20 minutes. Entered the store 5 minutes early and my food was ready!Thank you for really cold large pie pizza.Thank you for 3 of the slices missing a lot of toppings.Thank you for lack of cheese.Thank you for burnt black chicken wings.Thank you for not adding hot sauce as I ordered.I'm mostly thankful for the cashier not bagging my food and watched me bag it.Please do not mess around and have conversations (3 employees including the manager) when there's a long line of customers especially in front of the register area. Looks very unprofessional and as if your store is a slacker.I would not hire any of the employees there if they were to apply at my company. Harsh but must be said after my annoying experience today.
249,2,2,"Ok so I'm a Pizza Hut fan, when I heard that there was one on fresh pond road I said ""move a side Boston Market"". Some locations are not made to represent a company and this store is one of them. I arrived and ordered a veggie personal pie. The store was combined with KFC  I don't understand how this place is still surviving.  When you don't have that many stores open I feel the customer service should be outstanding.  I called and spoke to crystal about Paul Joshua who made a mistake in my order.  Instead of an apology I got excuses and attitude. I was upset but I blamed my self I should have spent my 27$ at Boston Market."
250,2,2,"called to ordered food for delivery. after taking my order, the guy asked for my address and tells me ""nope you're too far"" meanwhile I've ordered from here plenty of times before. I only live 10 minutes away. he was rude to top it off. the customer service is horrible. never ordering from them again! I'll go somewhere ""closer"" because they're lazy"
251,2,2,"Service is absolutely horrible. They never get the orders right, they charge for delivery, and the delivery person has been known to honk his horn out side of homes, and expect the people to go to the car for the food. The place is filthy dirty. And the appearance of staff is sicking. I give this place an F and the doors should be locked by the city health department...."
252,2,2,"If these assholes could sell raw brownie dough they would. I ordered for pickup and they told me it would be ready between 10-12 minutes. I got there in 17 and expected the brownies to be ready, only to find out they weren't. That was ok though. I get home to indulge and as I'm prying the pieces apart I realize the brownies are way too gooey and that the dough is practically still raw. Now I have to put it in the oven myself and wait to eat them. Very careless staff."
253,2,2,"Staff is ok  The overall appearance of this place is dirty filthy disgusting floors are filthy black, soda machine is always overflowing with ice, tables and chairs unsanitary and wait time for food is ridiculous"
254,2,2,"I placed an order today 2- 8 piece wings (simple.. So you would think) . The order was placed at 1:34pm on the Pizza Hut app- confirmation specified the order would be delivered at 2:04pm not 2:15-not 2:34... The pattern that THIS particular location has consistently shown is inconsistency. Why every time I place an order the service gets WORSE ... the employees sound like we make their ears bleed when a customer is dissatisfied- ( I'm sorry that's what happens when you're not effective at your job) FIND ANOTHER ONE THAT MAKES YOU SMILE :) I called and immediately cancelled the order. I told the employee the customer service is poor and lazy. And it's tiring to put up with this : you do this pretty much each time Pizza Hut. He didn't care, didn't apologize and asked, "" what's your number to cancel?"") in one ear and out the other smh. The driver called with my order as I was hanging up and I politely told him "" you can turn around, the order has been cancelled "". Dear PH- Don't think you're going to walk up my steps with LUKE WARM WINGS 30 mins late. BISH where ?! I like my wings fresh and crunchy. Not cold, LATE. & wet. I work in the customer service industry. I deal with the shit too but don't fuck with my food. Because you'll be damned if someone fucks with yours. :)"
255,2,2,"Ordered one afternoon, called back 40+ mins later still waiting for my pizza, and they said they couldn't deliver it because I lived too far?! Couldn't have said that when I placed my order? Plus, they have delivered to my address before. What a joke."
256,2,2,This happens a lot where you order 10 or more and either they miscounted or just deliberately short you of two pieces of the chicken I don't trust this place.
257,2,2,"Where do I begin.....For the last 2 years I have lived on this side of Jersey City, and everyone in the West Bergen section knows that food eatery options is very limited. So here we have Pizza Hut....First, never order delivery!! Always take out if you want this food. Delivery takes FOREVER and in addition, the your rolling the dice with the food. I have had times when the food came extra soggy and disgusting or burnt and dry. At least with pick up, you can check the food to make sure it is ok or have them make another. Sometime you think by ordering Pizza Hut, you would get a deal or Promo pizza but no, the cost for the pizza always comes expensive. It is as if the staff just does not care, but in their defense, this is fast food pizza so I am sure there is but so much they can do with the food but follow the cooking guidelines. I recommend that you just stay away to be safe but if you really need the Pizza Hut flavor, order bread sticks and a personal size pizza."
258,2,2,Where do I begin worst unprofessional staff and to top it off told me my order would be done in 20 minutes which turned into 50minutes never again 2nd time here and the same thing make you wait forever ‍ never ever again if you have a hour to waste waiting for pizza I recommend this place
259,2,2,"Upon my better judgement I attempted to order again years later, and this time my order just never came. And when i called multiple times to even check on the order or cancel it I was ""transferred"" to another line that no one ever answered and eventually just hung up."
260,2,2,"****YOU'VE BEEN WARNED****We placed an ordered. Didn't get it until 2 hours later and it was COLD not even cooked all way. To add insult to injury, there a few items still missing. My boyfriend and I spent  the next hour and a half on 2 different phones trying to speak to the mgr of the store. A representative would come to the phone after 20-30 mins of being on hold... Oh I forgot to mention we called 9x! We asked every time to speaking to a mgr and were told that we would need to be transferred. ""Transfered"" the phone will ring and then hang up. Just to recap, THIS WHOLE PROCESS HAPPENED 9x!!!We tried the delivery guys cell phone number hoping this would help. It did, so again we asked if we would speak speak to the mgr. I guess by then the gentleman was already back at the store and he handed the phone to the the mgr Nyema. FINALLY getting a helpful person on the phone. The result of all of this was that the mgr was able to refund the money back. After expressing the disgusting customer service, we were asked if we wanted a store credit! Ha, absolutely not!  DO NOT ORDER FROM THIS PIZZA HUT. Horrible customer service!"
261,2,2,Found a long grey hair in my p'zone. Disgusting. I pulled it out thinking it was a strand of cheese and then proceeded to feel nauseous when I realized it was actually a hair and I had almost finished the p'zone.
262,2,2,WORST Pizza hut ever. 2 hours+ for our delivery. Pointless/useless customer service person answers to transfer me to a manager that never answered.
263,3,3,"One of my guiltiest pleasures. You can not go wrong with their Supreme pizza and Breadsticks with extra seasoning. I decided to try their new Hut Favorite Flavor Sticks-- classic breadsticks with a garlic buttery twist. It was pretty good but I'll be sticking to the classic. The upgraded version was a little too salty.This location has been consistent for years. Food is made fresh and is always exactly what I ordered. Id recommend takeout. Can't speak on delivery but their seating area is limited. One downside, they now charge for extra seasoning on the breadsticks."
264,2,2,"Ordered via the Pizza Hut app: 9:35pmStated estimated delivery time: 10:04pmCalled to follow up: 10:17pmPhone rep stated driver had already left.Received call from driver: 10:41pmOrdered 1 stuffed crust pie, 16 wings, and the Chocolate cookie pie.Chocolate cookie pie was not warm when received. Since it came in a foil tin, we popped it in the oven as we ate so the cookie pie will be warm when it's time for dessert.Main complaint: Length of waiting time and room temperature cookie pieWill I order from here again? Most likely yes. Why? Because it is the only Pizza Hut in my area that will deliver to my house, and Pizza Hut commercials do a fantastic job making me crave them. I'll just have to keep in mind that I am going to have to WAIT."
265,2,2,"Usually don't have a problem but this was ridiculous. Been traveling all day back from vacation and decided to pass on food at the airport because we wanted to get pizza hut at home. Delivery took well over an hour and when finally got our food, the big dinner box, the pasta was completely overturned on one of the pizzas. We called to complain and see if we could get another order sent, was told no it's too busy and we'd only get credit for a later order. Completely unprofessional and the delivery guy definitely sold the pizza box and acted like it didn't happen. Won't order from here ever again, I'd rather go with dominoes."
266,2,2,I have placed an order online at 8:54pm and was supposed to receive my order at 9:25pm! I waited and called the store at 9:55 pm which I spoke to someone and the young lady said it on its way I asked how long she said wait another 15 mins ... its 10:30 and I still have not receive my food I find this ridiculous and poor customer service. Called the 1-800 number and that was pointless will never order from this location again!
267,2,2,"The Driver was nice (the only reason for a single star). The Large pizza was clearly a medium in a large box and the dough wasnt fully cooked properly. I called back to be put on hold for five mins, they are busy. I spoke to a employee who handed the phone to a Rude manager who doesnt greet me at all. Instead he says ""we sent you a large, that is a large"" ""you want me to make you a pizza myself ill do it"" as if it is my fault. this location has changed for the worst. This isnt my first bad experience however it will be my last.1. Poor food quality 2. Poor Mangment Pizza hut like other chains train employees and this manager needs retraining (in guest interaction)"
268,2,2,just got my order..pizza is hard like cardboard and pasta smells like moldy cheese..this location needs to be shut down ...
269,2,2,I will never order from here again. Waited for.my original order for over an hour. Then when it gets here the pizza isn't fully cooked in the middle. Nothing but mushy dough under the cheese. I call back and they agree to make me another one. Then I have to eat over an hour for the second one. This one gets here and although more cooked than the last one still not completely done in the middle. Thank God my kids eat the topping before they eat the breading other wise they would have been so sick. I try to call back and spend 20 minutes listening to the phone just ring. Its 8 o'clock they don't close til 11. Finally the same girl picks up and I'm irate. I want a refund. She says she has to call the driver to bring the pizza back so I can get a refund. It is now almost 9 o'clock and still no sign of him. They have lost me as a customer for good!
270,2,2,Ordered a Large Ultimate Cheese pie & 16pc boneless garlic parmesan wings. Took 2 1/2 hours for delivery service. During multiple calls to find out status of delivery my calls were disconnected. When my food arrived everything was COLD! Another call was placed to inquire about a refund or picking up HOT food I was told I can only receive store credit on the phone number I was calling from. HORRIBLE service! Pizza Hut on Rt. 440 is WAY better!
271,2,2,This place is HORRIBLE they get your internet orders wrong! How is that possible? Then another hour waiting for delivery because they messed up! I let them know 2 hours is un except able they offer a free pizza really? 2 hours later for a half a meal no I want my money back... The driver was nice the only reason for 1 star.
272,2,2,"Do not! I repeat do not  call and order from this Pizza Hut. You never received your Pizza. I had the misfortune of calling this Pizza Hut and placing an order that never came. When I placed my order I was told it would take 30 minutes. I called back nearly an hour later and was told the delivery guy left 30 minutes ago. I only live 10 minutes  away. Nearly 3 hours later when I called yet again, I was told that I never placed an order when I know that I did and had 2 witnesses. This pizza hut is horrible. I will no longer be ordering from them."
273,2,3,"I went here for lunch today with a co-worker.  I had the personal pie she had breadsticks, and we both ordered a soda.  Cheap and simple right?  The bill came at $13.98.  My friend put down $5 bill and a $1 bill to cover her portion, and I layed out a $10 bill and a $5 dollar bill which totaled $21 dollars...are you with me?  My intent was to receive change so I could leave a 3 or 4 dollar tip.  The waitress never came back to return my change.  I had to ask her to bring it....then she proceeds to drop of a $ 2 dollar bill and 2 cents.  WHAT?  Where is the $5 to total $ 7 dollars owed to me in change?  I asked at the front counter and SHE rather the waitress and the girl working the register said that I did not give them a $5.  That I only gave them a single and then $15, which is an outright lie.  I told them that someone either took my $5 or they lost it in the drawer.  They proceeded to argue with me saying that they did not take it and they counted the drawer and it is not over.  I asked to speak to a Manager at that point which there was no Manager on site for the day.  They gave me his phone number and said to call him then in the morning, he will be in.  I intend to do so and at this point it is about the principle!  I hate wating my time fighting over stupid stuff like this with a restaurant or anyone for that matter, but I KNOW and my co-worker KNOWS what amount of money we left to pay our tab.  So since most likely, the waitress stole my $5 dollar bill, she got $0 for a tip.  I think $ 5 dollars is a great tip for a $ 13.98 tab.  DO NOT ENTER THIS ESTABLISHMENT UNLESS YOU WANT YOUR MONEY STOLEN.  GHETTO, DIRTY, GROSS, AND THIEVES WORK THERE."
274,1,1,Good Pizza hut. Kind of hidden as it's a Taco Bell/Pizza hut on 125th. Small little place. Service is good. Usual pizza hut taste.
275,2,2,"On April 14th at about (9-9:30pm) I stopped in at the Taco Bell Express Pizza Hut on 125 street. First of all it took about an hour for me to receive my order (a single personal pizza) after which I sat and ate. To my extreme disgust I happened to see the same woman who made my pizza sitting on the prep table, shoes off, socks pulled back, scratching at her feet with a tape dispenser and then her bare hands as if her life depended on it. Of course it had to be the tape dispenser she uses to tape the receipt to the pizza box. My stomach turned as I realized the same hands she's itching away with are the hands that made my pizza, probably sprinkling her toe fungus in with the cheese. It didn't help that I watched her make my pizza with no gloves on, which I didn't even think to question until I saw this display. After seeing that I snapped a quick video I asked the only other employee who the manager was and he just looked over to her to get her attention instead of telling me her name. I walked up to her and kindly asked for her name to which she exploded saying ""I saw you recording me, go ahead post it, I dare you"" (so here we are) after asking her name few more times she finally revealed to me her name was ""Sonya"" it is an outrage that anyone in the food industry would behave in such an appalling manner. I Have been calling corporate and the operator keeps saying to call the store directly but they don't have a number for me to call !"
276,1,3,"It's been about a decade since we have had Pizza Hut. All the marketing had me craving for a minute.  Broke down and ordered an original crust plain cheese and an original crust meat lovers. It was exactly as I expected, yummy but greasy. The crust was crisp and crunchy. Cheese was lightly golden toasted. The meats were juicy and flavorful.  The accurate ratio of toppings were evenly distributed. It was a take out order and prepared in the time that they estimated. The employee at the counter was nice and attentive. I decided to place my order online and review all of the promotions available. After choosing which special I wanted, picking all the toppings, filling in all my information and finally my zipcode  I was directed to the closest Pizza Hut store to me. I received a message stating the promotion does not apply to the 440 Jersey City location. I felt like I may have been hornswaggled so they lost half a star."
277,2,2,"They don't even deserve a 1 star. Worst a service. Especially during pandemic. They kicked out a mom with kids and said We can only have 4 people at a time.How do you expect a mother to leave her child out, you should ask other customers to wait outside.They messed up the order twice apparently the worker there doesn't understand full pie with 2 toppings and add half mushroom on top is this hard to understand. Oh mind u they were screaming on top of their lungs. No type of respect for customers. I asked for credit and they told me to wait until they take all customers."
278,1,3,"Very long time since I've been here, last time was maybe as a child when hudson mall had an arcade. Well to make things clear, I could remember the pies being larger than they are now lol. I ordered a medium pizza, topped with chicken, onions, and mushroom....i started off though with plain buffalo wings no sauce...they were boneless, more like popcorn chicken. Meal was made fast and kept me on the move as my my lunch time is only a half an hour"
279,1,1,"Pizza Hut used to be the spot back in the day. You know - the Sunday funday that your parents took you to close out the weekend every once in awhile. I still have fond memories of the stuffed crust pizza and I can't believe that it didn't catch on in other places. Maybe YUM's lawyers have the patent on lock. Who knows.Anyway fast forward 15 years and lo and behold Pizza Hut has introduced a new type of stuffed crust pizza: Garlic knot stuffed crust pizza. If I could summarize my review of this pizza in two words, it would be ""the truth"". Yes, this pizza is the real deal. It is every bit as delicious as it sounds and just by writing this I am already mentally committing to returning next week for another pie. Yes, pizza snobs may turn their noses at the thought of purchasing a chain restaurant pizza. And in most cases, I would agree (especially with a preponderance of pizzerias in Jersey City Heights as well as Hoboken). However, the garlic knot stuffed crust pizza is a game changer. You owe it to yourself to check it out. (disclosure: I do not own any YUM stock)"
280,2,3,"This pizza hut has been around for as long as I can remember. Its kind of dingy, and old. They need to come in & revamp it. All the furniture are dated. Service is decent tho. The food is eh. We got the special that event, 1 large pie with 1 topping and 1 order of wings for 19$ (as per my SO craving pizza hut for some odd reason) We got their deep dish with chicken and mild buffalo boneless wings. The pizza was super oily but the crust was great, super crispy. The wings kind of remind me of a knock off Buffalo Wild Wings. Probably going to be another couple of years until I come back again."
2,2,3,"Go here if you like ghetto bums bugging you for stuff at all angles.  If you get lucky, they'll even help themselves to some of your food!"
282,2,2,"I didn't get to eat because I experienced a series of unpleasant treatments coming from the waiters and the manager himself. They were inattentive and when you do have their attention, they're rude."
283,2,2,The service has gone downhill quickly. Too  many other people were served first after us. I had to get management to get our order or else it would have been left behind. Not coming back again.
284,3,3,"Tip: Try their lunch buffet, it's cheap and has a variety of food. Pro: Orders are always accurateCon: Not the most professional employees Not much to write here, most likely like your typical Pizza Hut. I've been coming here for many years since I was a young kid, but mostly takes it now. The food is standard as any other PH location, however not there most professional service. Aside from that, no other issues- the order is always accurate and I get exactly what I ordered."
286,2,2,"I am so happy to know pizza hut because if this were my first time I WOULD NEVER RETURN! This place is a poor excuse for pizza hut and I nor my girlfriend, family or friends will ever return. Pizza came out room temperature which I cannot understand since it is made fresh. The cheese had no stretch to it, there was barely any sauce and the quality of the ingredients were poor and the pizza was made poorly. The pizza as it got colder than what was presented to us began to smell horribly. THIS EXPERIENCE WAS HORRIFYING. Our server was nice although it seemed as though he really was the only one working but even his service couldnt convince me to come back. Nope, I'll take my business elsewhere."
285,2,3,"Went today with my family. The bread sticks was cold. Pizza was ok. Very greasy. Pizza Hut have changed a lot. Serve was good. But, food was not. For the price I paid, I've could have gone to The Cheese Factory and paid the same price for a family of 5. (2 Adults 3 small kids. Kids share big meals). Not going back."
287,1,1,By far the best employees. When I was pregnant I would come here late night and get my Hershey's cookie and they already knew who I was when I called ahead ( preggo cravings lol ). They were always so friendly and helpful. I still love coming even after the pregnancy.
288,2,2,"Worst pizza I've ever had. Called at 6pm for a pickup. Asked how long does it take to make a pizza. Albert said 10 -12 minutes. Told him I would not be there until 6:45. He told me they would not start my pizza until 6:30. My first error was trusting his word. I get there at 6:35 and my pizza is ready for pick up. My second error was not checking it at that time. Drove home which took 10 minutes. Half the za had 3 of the ingredients I asked for, the other half had only 2. And it was COLD. I had worked all day and just wanted something to eat. I had not had Pizza Hut pizza for a long time and was really looking forward to this pie. I actually like cold pizza so I thought it would be OK to eat. I was wrong. Bland  ingredients & a greasy crust. My third error was not taking it back. Regardless, I'll never go there again."
289,3,2,Not like before. They still have the buffet. But the quality of the pizza isn't that good. The cheese falls right off and it's very saucy. Not cooked fully.
290,2,2,"Horrible. If I want an imitation New York-style pizza (read: super thin, wide slices with very little sauce) then I will not order from the biggest pizza chain in the country. Pizza Hut is my favorite pizza chain, and never before have I ordered from a location that did not deliver the same pizza I have eaten for 20+ years. That's like ordering fries from McDonald's, and they hand you seasoned fries with cheese on it. Who gave this Pizza Hut franchisee permission to rewrite the pizza recipe? Horrible, and I am so disappointed that I cannot order delivery from Pizza Hut as long as I live here. Smh."
291,2,2,Don't go here it nasty and dirty and the manager Casey is disgusting very rude and unprofessional. I wish I can give them a 0
292,2,2,"We went for dinner, half of the tables still needed to be clean. Workers were very rude especially the waiter Shady and not accommodating, wait time 30 min for them to take our order after being seated. Would not  recommend this place."
293,2,2,"We were just berated by a male employee who started lecturing us that we could not take a brownie dessert off our pickup order, otherwise it will ""mess up"" the computer system. As soon as we hung up from ordering, my husband said we didn't need to get the dessert in order to get the special. So I then immediately called back and ""attempted"" to take it off our order until a male employee was unneccesarily rude and told us the pizza was already in the oven. How that makes a difference of why we couldn't take the dessert off the menu beats me?!?!He started getting loud and obscene. I asked for his name. Click. He hung up on me. We called back to speak to the manager whose name is Rose. She wouldn't give his name. I love Pizza Hut, but this just bites the dust. Pizza Hut needs to implement policies on the behavior of employees, have a thorough interview and check up on their employees and managers, because there are no words to even describe how we feel. We're just trying to order a freakin pizza!"
294,1,3,"I've tried pizza at nicer decor restaurants, I've tried pizza at local restaurants, and I've tried pizza at chain restaurants.When it comes to a plain pepperoni pizza on regular dough, no one comes close to Pizza Hut.  Something about their combination of herbs that makes it vastly superior.Some Pizza Hut locations are a little off on the flavor, but this is one of those that gets it just right.  Too bad they don't deliver because the area it's in."
295,3,2,"I went here for lunch a few days ago. I had no idea pizza hut still did the lunch pizza buffet. Well let me tell you, it aint what it used to be. I remember alot more different kinds of pizza, salad, and maybe a few desserts. Now the entire buffet consisted of just 6 pizzas. Meat Lovers, Veggie, Pepperoni, Cheese, and 2 others I don't remember. They also had their pasta there which was disgusting (in my opinion) and that was my first time trying it. I thought there used to be a small salad bar, maybe a lil dessert perhaps. NO, not here. I took a pic of the entire buffet so you'll see what I mean. I guess I cant really complain because it was only $6 pp. Now the pizza itself was good as to be expected from pizza hut. The staff was nice and always close within ear shot. It seemed like our waiter was also the manager, not sure why just had the feeling. All in all I was shocked by the lackluster buffet, but even without other items, cant beat it for $6. Also I couldn't check-in here, the address is says it on 440 but that's it, no unit #. Anyone else have this problem??"
296,2,2,Probably the worst Pizza Hut I have ever been to.Something about this place is so depressing.Nobody smiles nobody talks and they all walk like they were zombied out or something.They really need an energy boost or just hire employees with a little more enthusiasm in life.I saw one of the guys changing the garbage bags and you would have been shocked to see the time he took to replace each one..I got a personal pie with veggies and it was not bad.I felt so drained out too once I left from here.Something about this place that just saps out your energy.
